cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC0816_N01	15.08	-10.67	CD34
CD34_Donor1_S1_BC0818_N01	15.69	-15.78	CD34
CD34_Donor1_S1_BC0819_N01	14.41	-14.49	CD34
CD34_Donor1_S1_BC0820_N01	8.97	-5.34	CD34
CD34_Donor1_S1_BC0823_N01	18.61	-9.35	CD34
CD34_Donor1_S1_BC0824_N01	11.59	-16.50	CD34
CD34_Donor1_S1_BC0825_N01	13.94	-13.90	CD34
CD34_Donor1_S1_BC0833_N01	24.11	-11.05	CD34
CD34_Donor1_S1_BC0836_N01	7.29	-13.33	CD34
CD34_Donor1_S1_BC0840_N01	4.06	2.17	CD34
CD34_Donor1_S1_BC0841_N01	23.35	-11.65	CD34
